COL1,WMC2018
/mnt/dados/projetopydriller/spring-framework/spring-webmvc/src/test/java/org/springframework/web/context/support/ServletContextSupportTests.java,16
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/context/support/Logic.java,3
/mnt/dados/projetopydriller/spring-framework/spring-tx/src/test/java/org/springframework/transaction/event/TransactionalEventListenerTests.java,23
/mnt/dados/projetopydriller/spring-framework/spring-test/src/test/java/org/springframework/test/web/client/samples/matchers/JsonPathRequestMatchersIntegrationTests.java,11
/mnt/dados/projetopydriller/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/core/SqlInOutParameter.java,8
/mnt/dados/projetopydriller/spring-framework/spring-tx/src/main/java/org/springframework/transaction/interceptor/TransactionProxyFactoryBean.java,8
/mnt/dados/projetopydriller/spring-framework/spring-test/src/main/java/org/springframework/test/web/servlet/request/MockHttpServletRequestBuilder.java,100
/mnt/dados/projetopydriller/spring-framework/spring-aspects/src/test/java/org/springframework/transaction/aspectj/TransactionAspectTests.java,23
/mnt/dados/projetopydriller/spring-framework/spring-core/src/main/java/org/springframework/core/env/ReadOnlySystemAttributesMap.java,15
/mnt/dados/projetopydriller/spring-framework/spring-beans/src/main/java/org/springframework/beans/factory/config/RuntimeBeanReference.java,13
/mnt/dados/projetopydriller/spring-framework/spring-messaging/src/main/java/org/springframework/messaging/handler/invocation/AbstractExceptionHandlerMethodResolver.java,15
/mnt/dados/projetopydriller/spring-framework/spring-aop/src/main/java/org/springframework/aop/support/AbstractPointcutAdvisor.java,9
/mnt/dados/projetopydriller/spring-framework/spring-web/src/test/java/org/springframework/http/server/DefaultPathContainerTests.java,7
/mnt/dados/projetopydriller/spring-framework/spring-web/src/main/java/org/springframework/http/codec/ServerSentEvent.java,9
/mnt/dados/projetopydriller/spring-framework/spring-web/src/main/java/org/springframework/http/server/reactive/AbstractListenerWriteFlushProcessor.java,26
/mnt/dados/projetopydriller/spring-framework/spring-test/src/test/java/org/springframework/test/context/junit4/spr9645/LookUpTxMgrByTypeTests.java,3
/mnt/dados/projetopydriller/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/RequestMappingHandlerMappingTests.java,14
/mnt/dados/projetopydriller/spring-framework/spring-beans/src/main/java/org/springframework/beans/factory/xml/BeansDtdResolver.java,10
/mnt/dados/projetopydriller/spring-framework/spring-context/src/main/java/org/springframework/cache/interceptor/VariableNotAvailableException.java,2
/mnt/dados/projetopydriller/spring-framework/spring-web/src/main/java/org/springframework/http/codec/json/Jackson2JsonEncoder.java,7
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/beans/factory/xml/LookupMethodWrappedByCglibProxyTests.java,2
/mnt/dados/projetopydriller/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/resource/CachingResourceTransformer.java,6
/mnt/dados/projetopydriller/spring-framework/spring-test/src/test/java/org/springframework/test/context/junit4/annotation/meta/ConfigClassesAndProfileResolverWithCustomDefaultsMetaConfig.java,2
/mnt/dados/projetopydriller/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/config/DelegatingWebFluxConfiguration.java,14
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/context/annotation/AbstractCircularImportDetectionTests.java,6
/mnt/dados/projetopydriller/spring-framework/spring-expression/src/main/java/org/springframework/expression/spel/ast/RealLiteral.java,4
/mnt/dados/projetopydriller/spring-framework/spring-context/src/main/java/org/springframework/cache/annotation/SpringCacheAnnotationParser.java,25
/mnt/dados/projetopydriller/spring-framework/spring-context/src/main/java/org/springframework/format/datetime/standard/MonthFormatter.java,2
/mnt/dados/projetopydriller/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/datasource/embedded/AbstractEmbeddedDatabaseConfigurer.java,5
/mnt/dados/projetopydriller/spring-framework/spring-test/src/test/java/org/springframework/mock/web/MockHttpServletResponseTests.java,32
/mnt/dados/projetopydriller/spring-framework/spring-test/src/test/java/org/springframework/test/context/junit4/spr9645/LookUpTxMgrByTypeAndDefaultNameTests.java,3
/mnt/dados/projetopydriller/spring-framework/spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/annotation/RequestMappingHandlerAdapter.java,106
/mnt/dados/projetopydriller/spring-framework/spring-webmvc/src/test/java/org/springframework/web/servlet/handler/BeanNameUrlHandlerMappingTests.java,46
/mnt/dados/projetopydriller/spring-framework/spring-web/src/test/java/org/springframework/web/util/JavaScriptUtilsTests.java,3
/mnt/dados/projetopydriller/spring-framework/spring-webmvc/src/main/java/org/springframework/web/servlet/config/annotation/UrlBasedViewResolverRegistration.java,9
/mnt/dados/projetopydriller/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/sockjs/transport/handler/HtmlFileTransportHandler.java,10
/mnt/dados/projetopydriller/spring-framework/spring-test/src/main/java/org/springframework/test/context/transaction/TransactionContextHolder.java,4
/mnt/dados/projetopydriller/spring-framework/spring-context/src/main/java/org/springframework/scheduling/concurrent/ScheduledExecutorTask.java,18
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/context/annotation/componentscan/cycle/right/RightConfig.java,0
/mnt/dados/projetopydriller/spring-framework/spring-aop/src/main/java/org/springframework/aop/target/CommonsPool2TargetSource.java,30
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/aop/aspectj/autoproxy/AnnotationPointcutTests.java,3
/mnt/dados/projetopydriller/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/config/ResourceHandlerRegistration.java,9
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/context/expression/AnnotatedElementKeyTests.java,5
/mnt/dados/projetopydriller/spring-framework/spring-beans/src/main/java/org/springframework/beans/factory/support/NullBean.java,6
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/jmx/export/DateRange.java,4
